Date,"Sun, Mar 1","Mon, Mar 2","Wed, Mar 4","Fri, Mar 6","Sat, Mar 7","Sun, Mar 8","Mon, Mar 9","Fri, Mar 13","Sat, Mar 14","Sun, Mar 15","Sun, Mar 22","Tue, Mar 24","Fri, Mar 27","Sat, Mar 28","Sun, Mar 29"
num of orders:,5,10,5,12,6,7,7,14,7,7,3,7,9,4,12
tips:,"B12, 8.15,$","H9, 4.53, cc","G8, 4, cc","E14, 5, cc","H13, 5.73, cc","F14, 4.69, cc","F14, 3, cc","OUT, 6.42, cc","L12, 5.26, $","D7, 14.38, cc","I8, 20, cc","H9, 5, cc","I15, 5, cc","J12, 2, cc","M11, 6.24, cc"
"","H10, 0, sz","H15, 6, cc","H10, 0, sz","E14, 4, cc","H11, 0.84, $","E14, 2.44, $","C9, 0, cc","OUT, 6, cc","L11, 4.72/10,cc/$","B16, 10, cc","L8, 3, cc","G13, 3, cc","C11, 5, cc","C14, 5, cc","I14, 5.39, cc"
"","F7, 5, cc","F17, 2.50, cc","F14, 5, cc","I13, 5, cc","H13, 2, $","C15, 2, $","G8, 4.94, cc","I12, 2, cc","H18, 6, cc","H11, 4.80, $","G17, 10.57/10, cc/$","G13, 6.69, cc","I12, 2, cc","K11, 6, cc","H13, 7, cc"
"","F11, 7.43, cc","E8, 3, cc","J18, 1, $","K19, 10.31, cc","G17, 4.30, cc","I15, 6, $","I13, 3, $","K11, 8.43, $","F13, 2, cc","L10, 6, $",,"I17, 5, cc","E11, 4, $","K12, 5, cc","G16, 0, cc"
"","H9, 3, cc","G18, 4, cc","D14, 5, cc","L9, 6, cc","G15, 5, cc","F9, 4.74, cc","F15, 5, $","L12, 1.07, $","F7, 4, cc","I18, 11.16, cc",,"J9, 8.51, cc","D9, 4, cc",,"C13, 16, cc"
"",,"I11, 8.39, $",,"D12, 3.81, cc","D14, 0, cc","G12, 2.77, $","E11, 2.76, cc","J9, 2.06, $","I10, 9.39, cc","G13, 5.85, cc",,"OUT, 3, cc","L10, 5, $",,"L5, 0, cc"
"",,"H13, 10, $",,"C14, 5, cc",,"G17, 2.66, $","C9, 6, $","J8, 6, $","F14, 3, cc","D9, 2.66, cc",,"F14, 11.57, cc","L8, 5, cc",,"G17, 5.42, cc"
"",,"F14, 3.36, $",,"J8, 2.72, $",,,,"I16, 5, $",,,,,"OUT, 0, cc",,"H13, 9.95, cc"
"",,"K9, 2, cc",,"I8, 0, oop",,,,"H14, 5, $",,,,,"OUT, 5, cc",,"H14, 5, $"
"",,"J8, 4, cc",,"I10, 7.25, $",,,,"H13, 3, cc",,,,,,,"E15, 0, cc"
"",,,,"H10, 5, $",,,,"H10, 2.50, cc",,,,,,,"C14, 0, cc"
"",,,,"I15, 12, $",,,,"F15, 5, $",,,,,,,"D14, 2.97, cc"
"",,,,,,,,"C15, 5, cc",,,,,,,
"",,,,,,,,"M11, 4, cc",,,,,,,
